Series ID,Year,Period,Label,Value,12-Month % Change
CUUR0000SA0,2014,M03,2014 Mar,236.293,1.5
CUUR0000SA0,2014,M04,2014 Apr,237.072,2.0
CUUR0000SA0,2014,M05,2014 May,237.900,2.1
CUUR0000SA0,2014,M06,2014 Jun,238.343,2.1
CUUR0000SA0,2014,M07,2014 Jul,238.250,2.0
CUUR0000SA0,2014,M08,2014 Aug,237.852,1.7
CUUR0000SA0,2014,M09,2014 Sep,238.031,1.7
CUUR0000SA0,2014,M10,2014 Oct,237.433,1.7
CUUR0000SA0,2014,M11,2014 Nov,236.151,1.3
CUUR0000SA0,2014,M12,2014 Dec,234.812,0.8
CUUR0000SA0,2015,M01,2015 Jan,233.707,-0.1
CUUR0000SA0,2015,M02,2015 Feb,234.722,0.0
CUUR0000SA0,2015,M03,2015 Mar,236.119,-0.1
CUUR0000SA0,2015,M04,2015 Apr,236.599,-0.2
CUUR0000SA0,2015,M05,2015 May,237.805,0.0
CUUR0000SA0,2015,M06,2015 Jun,238.638,0.1
CUUR0000SA0,2015,M07,2015 Jul,238.654,0.2
CUUR0000SA0,2015,M08,2015 Aug,238.316,0.2
CUUR0000SA0,2015,M09,2015 Sep,237.945,0.0
CUUR0000SA0,2015,M10,2015 Oct,237.838,0.2
CUUR0000SA0,2015,M11,2015 Nov,237.336,0.5
CUUR0000SA0,2015,M12,2015 Dec,236.525,0.7
CUUR0000SA0,2016,M01,2016 Jan,236.916,1.4
CUUR0000SA0,2016,M02,2016 Feb,237.111,1.0
CUUR0000SA0,2016,M03,2016 Mar,238.132,0.9
CUUR0000SA0,2016,M04,2016 Apr,239.261,1.1
CUUR0000SA0,2016,M05,2016 May,240.229,1.0
CUUR0000SA0,2016,M06,2016 Jun,241.018,1.0
CUUR0000SA0,2016,M07,2016 Jul,240.628,0.8
CUUR0000SA0,2016,M08,2016 Aug,240.849,1.1
CUUR0000SA0,2016,M09,2016 Sep,241.428,1.5
CUUR0000SA0,2016,M10,2016 Oct,241.729,1.6
CUUR0000SA0,2016,M11,2016 Nov,241.353,1.7
CUUR0000SA0,2016,M12,2016 Dec,241.432,2.1
CUUR0000SA0,2017,M01,2017 Jan,242.839,2.5
CUUR0000SA0,2017,M02,2017 Feb,243.603,2.7
CUUR0000SA0,2017,M03,2017 Mar,243.801,2.4
CUUR0000SA0,2017,M04,2017 Apr,244.524,2.2
CUUR0000SA0,2017,M05,2017 May,244.733,1.9
CUUR0000SA0,2017,M06,2017 Jun,244.955,1.6
CUUR0000SA0,2017,M07,2017 Jul,244.786,1.7
CUUR0000SA0,2017,M08,2017 Aug,245.519,1.9
CUUR0000SA0,2017,M09,2017 Sep,246.819,2.2
CUUR0000SA0,2017,M10,2017 Oct,246.663,2.0
CUUR0000SA0,2017,M11,2017 Nov,246.669,2.2
CUUR0000SA0,2017,M12,2017 Dec,246.524,2.1
CUUR0000SA0,2018,M01,2018 Jan,247.867,2.1
CUUR0000SA0,2018,M02,2018 Feb,248.991,2.2
CUUR0000SA0,2018,M03,2018 Mar,249.554,2.4
CUUR0000SA0,2018,M04,2018 Apr,250.546,2.5
